PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,FG%,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JarenJacksonJr.,30,8,12,25,1,5,3,4,2,35,43.3,75.0,3,5,3,1,1,3,5,21,MemphisGrizzlies
ZiaireWilliams,17,4,4,4,3,6,0,0,5,30,70.0,0.0,0,4,3,2,0,3,-1,22,MemphisGrizzlies
LukeKennard,15,5,0,1,5,10,0,0,6,30,45.5,0.0,0,5,3,1,0,1,-8,18,MemphisGrizzlies
SantiagoAldama,14,7,4,4,2,5,0,0,5,29,66.7,0.0,2,5,1,0,0,2,-2,22,MemphisGrizzlies
VinceWilliamsJr.,11,5,0,1,3,8,2,4,4,36,33.3,50.0,0,5,1,0,2,4,2,13,MemphisGrizzlies
JohnKonchar,7,1,2,3,1,2,0,0,2,26,60.0,0.0,1,0,1,3,2,2,8,12,MemphisGrizzlies
GregoryJackson,5,0,2,2,0,0,1,1,1,11,100.0,100.0,0,0,0,0,0,2,4,6,MemphisGrizzlies
XavierTillman,5,2,2,6,0,1,1,2,0,13,28.6,50.0,0,2,0,1,2,2,-4,4,MemphisGrizzlies
DavidRoddy,3,10,1,3,0,1,1,2,3,17,25.0,50.0,3,7,1,0,0,2,4,11,MemphisGrizzlies
JacobGilyard,0,1,0,0,0,3,0,0,2,13,0.0,0.0,0,1,0,1,0,0,-3,1,MemphisGrizzlies
MemphisGrizzlies,107,43,27,49,15,41,8,13,30,240,46.7,0.0,9,34,13,9,7,21,5,130,MemphisGrizzlies
PaoloBanchero,27,5,6,11,2,9,9,11,6,34,40.0,81.8,0,5,3,2,1,3,0,24,OrlandoMagic
WendellCarter,20,9,6,6,2,3,2,3,2,35,88.9,66.7,3,6,1,2,2,3,-5,32,OrlandoMagic
FranzWagner,18,5,2,7,4,8,2,3,4,38,40.0,66.7,1,4,5,1,1,1,2,14,OrlandoMagic
MoritzWagner,12,3,3,5,1,1,3,4,0,13,66.7,75.0,0,3,0,1,0,1,4,13,OrlandoMagic
JonathanIsaac,10,5,4,4,0,1,2,2,0,22,80.0,100.0,2,3,0,0,0,0,7,14,OrlandoMagic
MarkelleFultz,10,3,5,7,0,0,0,0,3,21,71.4,0.0,1,2,1,0,0,1,-2,13,OrlandoMagic
ColeAnthony,5,7,2,4,0,4,1,2,4,23,25.0,50.0,0,7,0,2,0,0,10,11,OrlandoMagic
AnthonyBlack,2,3,0,2,0,1,2,4,1,27,0.0,50.0,2,1,1,0,0,5,1,0,OrlandoMagic
JoeIngles,2,0,1,1,0,4,0,0,0,17,20.0,0.0,0,0,0,0,0,0,-9,-2,OrlandoMagic
TrevelinQueen,0,0,0,0,0,1,0,0,1,5,0.0,0.0,0,0,0,0,0,0,-5,0,OrlandoMagic
JalenSuggs,0,0,0,0,0,2,0,0,0,4,0.0,0.0,0,0,0,0,0,0,-8,-2,OrlandoMagic
OrlandoMagic,106,40,29,47,9,34,21,29,21,240,46.9,0.0,9,31,11,8,4,14,-5,117,OrlandoMagic
