PLAYER,Pts,Reb,2M,2A,3M,3A,1M,1A,Ast,MIN,2M-2A,3M-3A,FG%,1M-1A,1%,Or,Dr,To,Stl,Blk,Fo,+/-,Eff,Team
JoelEmbiid,35,13,7,16,2,3,15,16,2,29,7-16,2-3,47.4,15-16,93.8,0,13,4,2,4,2,28,41,Philadelphia76ers
TyreseMaxey,19,1,6,10,1,6,4,5,4,27,6-10,1-6,43.8,4-5,80.0,0,1,1,2,0,1,37,15,Philadelphia76ers
MarcusMorris,15,2,0,3,5,5,0,0,1,15,0-3,5-5,62.5,0-0,0,0,2,1,1,0,1,12,15,Philadelphia76ers
TobiasHarris,13,7,3,5,1,3,4,4,2,24,3-5,1-3,50.0,4-4,100.0,2,5,2,3,1,3,24,20,Philadelphia76ers
KellyOubre,11,3,3,6,1,5,2,2,1,17,3-6,1-5,36.4,2-2,100.0,1,2,0,0,0,3,6,8,Philadelphia76ers
JadenSpringer,9,2,3,6,1,3,0,0,3,12,3-6,1-3,44.4,0-0,0,1,1,0,2,1,3,0,12,Philadelphia76ers
NicolasBatum,4,5,2,3,0,1,0,0,4,22,2-3,0-1,50.0,0-0,0,2,3,0,2,0,0,30,13,Philadelphia76ers
De&#039;AnthonyMelton,4,3,1,3,0,3,2,2,1,23,1-3,0-3,16.7,2-2,100.0,2,1,0,1,1,4,24,5,Philadelphia76ers
KenyonMartin,4,1,2,3,0,0,0,0,1,7,2-3,0-0,66.7,0-0,0,1,0,0,0,0,0,-6,5,Philadelphia76ers
MohamedBamba,3,4,0,1,1,1,0,0,0,9,0-1,1-1,50.0,0-0,0,1,3,0,0,1,2,-4,7,Philadelphia76ers
DanuelHouse,3,4,0,2,1,3,0,0,2,12,0-2,1-3,20.0,0-0,0,3,1,0,0,0,2,0,5,Philadelphia76ers
FurkanKorkmaz,3,1,0,0,1,3,0,0,1,7,0-0,1-3,33.3,0-0,0,0,1,0,0,0,1,-6,3,Philadelphia76ers
PatrickBeverley,1,0,0,1,0,0,1,2,0,12,0-1,0-0,0.0,1-2,50.0,0,0,0,3,0,0,-6,2,Philadelphia76ers
PaulReed,0,5,0,1,0,0,0,0,2,12,0-1,0-0,0.0,0-0,0,2,3,2,0,0,1,11,4,Philadelphia76ers
RobertCovington,0,3,0,1,0,1,0,0,0,13,0-1,0-1,0.0,0-0,0,1,2,1,1,0,0,10,1,Philadelphia76ers
Philadelphia76ers,124,58,27,61,14,37,28,31,24,240,27-61,14-37,41.8,28-31,0,19,39,11,17,8,23,160,156,Philadelphia76ers
JamesWiseman,20,13,9,12,0,0,2,2,1,28,9-12,0-0,75.0,2-2,100.0,3,10,2,0,1,2,-5,30,DetroitPistons
BojanBogdanovic,17,3,4,7,2,5,3,4,2,26,4-7,2-5,50.0,3-4,75.0,1,2,3,0,0,1,-28,12,DetroitPistons
JadenIvey,13,4,4,10,0,2,5,5,4,29,4-10,0-2,33.3,5-5,100.0,1,3,5,0,0,3,-6,8,DetroitPistons
MarcusSasser,11,2,3,3,1,1,2,4,4,17,3-3,1-1,100.0,2-4,50.0,0,2,2,1,1,1,1,15,DetroitPistons
AusarThompson,8,3,3,5,0,0,2,2,1,22,3-5,0-0,60.0,2-2,100.0,0,3,1,0,1,2,-15,10,DetroitPistons
KillianHayes,5,4,1,5,0,1,3,4,2,21,1-5,0-1,16.7,3-4,75.0,1,3,3,0,1,3,-28,3,DetroitPistons
IsaiahStewart,4,4,2,5,0,1,0,0,0,20,2-5,0-1,33.3,0-0,0,1,3,2,0,1,4,-27,3,DetroitPistons
CadeCunningham,4,3,2,7,0,2,0,0,2,24,2-7,0-2,22.2,0-0,0,0,3,3,1,1,3,-32,1,DetroitPistons
AlecBurks,4,2,2,4,0,4,0,0,0,17,2-4,0-4,25.0,0-0,0,0,2,0,0,0,1,-17,0,DetroitPistons
IsaiahLivers,3,3,1,2,0,2,1,2,2,25,1-2,0-2,25.0,1-2,50.0,0,3,0,1,1,4,5,6,DetroitPistons
JoeHarris,3,1,0,0,1,3,0,0,1,11,0-0,1-3,33.3,0-0,0,0,1,0,0,0,1,-8,3,DetroitPistons
DetroitPistons,92,45,31,60,4,21,18,23,19,240,31-60,4-21,43.2,18-23,0,9,36,24,3,7,25,-160,91,DetroitPistons
